Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.48309153209991E-06,3.60672325339095E-11,0.0280471670298833,0,0,0,0.380110289469191,0.00128623683189621,-1.85011347063901E-13,-4.08987092760032E-12,0.00128623683211484,3.05496947183848E-13,0.00218003078926772,0,0,0,0,0,0,package://RobotROS/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotROS/meshes/base_link.STL,,Body-1;SDG10HP100K-2;SDG10HP100K-3;SDG10HP100K-4;SDG10HP100K-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
back_wheel,-1.7554E-09,-4.8902E-09,0.0092664,0,0,0,0.012622,1.1768E-06,-3.1606E-14,2.0572E-13,1.1768E-06,-7.3844E-14,1.7117E-06,0,0,0,0,0,0,package://RobotROS/meshes/back_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotROS/meshes/back_wheel.STL,,Omniwheel_connector-3/roller_r2-0354-40_b00-1;Omniwheel_connector-3/connector-1,Coordinate System3,Axiswheel1,backwheel,continuous,-0.105,-0.00025,0.005,-1.5708,0,-1.5708,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
right_wheel,-5.1917E-09,-2.9353E-09,-0.0097336,0,0,0,0.012622,1.1768E-06,1.518E-14,3.441E-13,1.1768E-06,-6.0386E-14,1.7117E-06,0,0,0,0,0,0,package://RobotROS/meshes/right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotROS/meshes/right_wheel.STL,,Omniwheel_connector-1/roller_r2-0354-40_b00-1;Omniwheel_connector-1/connector-1,Coordinate System4,Axiswheel2,rightwheel,continuous,0.00025,0.105,0.005,-1.5708,0,0,base_link,0,0,1,10,10,,,,,0.1,0.1,,,,
front_wheel,-4.1812E-09,-2.6849E-09,-0.0097336,0,0,0,0.012622,1.1768E-06,-3.2363E-14,1.0854E-13,1.1768E-06,-1.6904E-13,1.7117E-06,0,0,0,0,0,0,package://RobotROS/meshes/front_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotROS/meshes/front_wheel.STL,,Omniwheel_connector-2/roller_r2-0354-40_b00-1;Omniwheel_connector-2/connector-1,Coordinate System5,Axiswheel3,frontwheel,continuous,0.105,0.00025,0.005,-1.5708,0,-1.5708,base_link,0,0,1,10,10,,,,,0.1,0.1,,,,
left_wheel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://RobotROS/meshes/left_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://RobotROS/meshes/left_wheel.STL,,Omniwheel_connector-4/roller_r2-0354-40_b00-1;Omniwheel_connector-4/connector-1,Coordinate System6,Axiswheel4,leftwheel,continuous,0.00025,-0.105,0.005,-1.5708,0,0,base_link,0,0,-1,10,10,,,,,0.1,0.1,,,,
